Item Point ID,Map,Region,Guaranteed Drop,Min,Common Drop,Common %,Rare Drop,Rare %
IP_MP2306_11,Muddy Passage,Schlamm Jungle,paprika,1,,,,
IP_MP2306_12,Muddy Passage,Schlamm Jungle,paprika,1,,,,
IP_MP2306_13,Muddy Passage,Schlamm Jungle,small leaves,1,beautiful flowers,20%,foxglove leaves,40%
IP_MP2306_14,Muddy Passage,Schlamm Jungle,small leaves,1,beautiful flowers,20%,foxglove leaves,40%
IP_MP2306_15,Muddy Passage,Schlamm Jungle,small leaves,1,beautiful flowers,20%,foxglove leaves,40%
IP_MP2307_01,End,Schlamm Jungle,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP2307_02,End,Schlamm Jungle,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP1118_01,Odd Rock Coast,Odd Rock Coast,small leaves,1,beautiful flowers,25%,foxglove leaves,5%
IP_MP1118_02,Odd Rock Coast,Odd Rock Coast,coconut palm,1,,,,
IP_MP1114_01,Reja Shore,Longhorn Coast,coconut palm,1,,,,
IP_MP1114_02,Reja Shore,Longhorn Coast,coconut palm,1,,,,
IP_MP1114_03,Reja Shore,Longhorn Coast,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP1114_04,Reja Shore,Longhorn Coast,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP1114_05,Reja Shore,Longhorn Coast,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP1114_06,Reja Shore,Longhorn Coast,Honey,1,,,,
IP_MP1114_07,Reja Shore,Longhorn Coast,Honey,1,,,,
IP_MP1114_08,Reja Shore,Longhorn Coast,Honey,1,,,,
IP_MP1114_09,Reja Shore,Longhorn Coast,Honey,1,,,,
IP_MP1115_01,Eastern Shore,Longuefone Beach,small leaves,1,beautiful flowers,20%,foxglove leaves,10%
IP_MP1115_02,Eastern Shore,Longuefone Beach,strange lump,1,rock salt,20%,,
IP_MP1115_03,Eastern Shore,Longuefone Beach,bending twig,1,glossy wood,10%,lateca resin,2%
IP_MP1115_04,Eastern Shore,Longuefone Beach,small leaves,1,beautiful flowers,20%,foxglove leaves,10%
IP_MP1115_05,Eastern Shore,Longuefone Beach,eggplant,1,,,,
IP_MP1115_06,Eastern Shore,Longuefone Beach,eggplant,1,,,,
IP_MP1115_07,Eastern Shore,Longuefone Beach,eggplant,1,,,,
IP_MP2105_01,Foggy Forest,Water and Wood Hills,bending twig,1,glossy wood,20%,lateca resin,10%
IP_MP2105_02,Foggy Forest,Water and Wood Hills,small leaves,1,beautiful flowers,20%,foxglove leaves,10%
IP_MP2105_03,Foggy Forest,Water and Wood Hills,strange lump,1,Iron ore,20%,stalactite,10%
IP_MP2105_04,Foggy Forest,Water and Wood Hills,small leaves,1,beautiful flowers,20%,foxglove leaves,10%
IP_MP2105_05,Foggy Forest,Water and Wood Hills,bending twig,1,glossy wood,20%,lateca resin,10%
IP_MP2105_06,Foggy Forest,Water and Wood Hills,strange lump,1,Iron ore,20%,stalactite,10%
IP_MP3109_01,Dana's Tree,The Primodrial Passage,bending twig,1,glossy wood,10%,lateca resin,2%
IP_MP3109_02,Dana's Tree,The Primodrial Passage,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP3109_03,Dana's Tree,The Primodrial Passage,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP3109_04,Dana's Tree,The Primodrial Passage,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP3109_05,Dana's Tree,The Primodrial Passage,bending twig,1,glossy wood,10%,lateca resin,2%
IP_MP3109_06,Dana's Tree,The Primodrial Passage,bending twig,1,glossy wood,20%,lateca resin,5%
IP_MP3109_07,Dana's Tree,The Primodrial Passage,shine cone,1,,,,
IP_MP3109_08,Dana's Tree,The Primodrial Passage,shine cone,1,,,,
IP_MP3109_09,Dana's Tree,The Primodrial Passage,shine cone,1,,,,
IP_MP4331_01,Entrance,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4331_02,Entrance,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4331_03,Entrance,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4331_04,Entrance,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4331_05,Entrance,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4332_01,Winding Stone Stairs,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4332_02,Winding Stone Stairs,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4332_03,Winding Stone Stairs,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4332_04,Winding Stone Stairs,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4333_01,Southern Lower Cliffside Trail,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4333_02,Southern Lower Cliffside Trail,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4333_03,Southern Lower Cliffside Trail,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4333_04,Southern Lower Cliffside Trail,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4333_05,Southern Lower Cliffside Trail,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4333_06,Southern Lower Cliffside Trail,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4334_01,Northern Lower Cliffside Trail,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4334_02,Northern Lower Cliffside Trail,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4334_03,Northern Lower Cliffside Trail,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4334_04,Northern Lower Cliffside Trail,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4334_05,Northern Lower Cliffside Trail,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4334_06,Northern Lower Cliffside Trail,Mont Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4334_07,Northern Lower Cliffside Trail,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4334_08,Northern Lower Cliffside Trail,Mont Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4334_09,Northern Lower Cliffside Trail,Mont Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP3108_01,River,Western Foot of Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP3108_02,River,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP3108_03,River,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP3106_01,Moutain Base,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP3106_02,Moutain Base,Western Foot of Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP3106_03,Moutain Base,Western Foot of Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP3106_04,Moutain Base,Western Foot of Gendarme,shine cone,1,,,,
IP_MP3106_05,Moutain Base,Western Foot of Gendarme,shine cone,1,,,,
IP_MP3107_01,Near Cavern of the Ancient King,Western Foot of Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP3107_02,Near Cavern of the Ancient King,Western Foot of Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP3107_03,Near Cavern of the Ancient King,Western Foot of Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP3107_04,Near Cavern of the Ancient King,Western Foot of Gendarme,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP3107_05,Near Cavern of the Ancient King,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP3107_06,Near Cavern of the Ancient King,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP3107_07,Near Cavern of the Ancient King,Western Foot of Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP3107_08,Near Cavern of the Ancient King,Western Foot of Gendarme,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP3107_09,Near Cavern of the Ancient King,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP3107_10,Near Cavern of the Ancient King,Western Foot of Gendarme,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP7401_01,Cavern of the Ancient King,Cavern of the Ancient King,Iron ore,1,tektite ore,10%,stalactite,10%
IP_MP7401_02,Cavern of the Ancient King,Cavern of the Ancient King,Iron ore,1,tektite ore,10%,stalactite,10%
IP_MP7401_03,Cavern of the Ancient King,Cavern of the Ancient King,Iron ore,1,tektite ore,10%,stalactite,10%
IP_MP4336_01,Cliffside Midpoint,Mont Gendarme,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4336_02,Cliffside Midpoint,Mont Gendarme,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4336_03,Cliffside Midpoint,Mont Gendarme,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4336_04,Cliffside Midpoint,Mont Gendarme,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4336_05,Cliffside Midpoint,Mont Gendarme,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4336_06,Cliffside Midpoint,Mont Gendarme,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4338_01,Upper Cliffs 1,Mont Gendarme,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4338_02,Upper Cliffs 1,Mont Gendarme,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4338_03,Upper Cliffs 1,Mont Gendarme,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4338_04,Upper Cliffs 1,Mont Gendarme,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4339_01,Upper Cliffs 2,Mont Gendarme,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4339_02,Upper Cliffs 2,Mont Gendarme,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4340_01,Upper Cliffs 3,Mont Gendarme,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4340_02,Upper Cliffs 3,Mont Gendarme,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4340_03,Upper Cliffs 3,Mont Gendarme,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4340_04,Upper Cliffs 3,Mont Gendarme,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4340_05,Upper Cliffs 3,Mont Gendarme,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4103_01,Top,Mountain Pinnacle Trail,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4103_02,Top,Mountain Pinnacle Trail,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4103_03,Top,Mountain Pinnacle Trail,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4103_04,Top,Mountain Pinnacle Trail,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP4103_05,Top,Mountain Pinnacle Trail,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4103_06,Top,Mountain Pinnacle Trail,bending twig,1,warm wood,5%,lateca resin,2%
IP_MP4103_07,Top,Mountain Pinnacle Trail,small leaves,1,shining leaves,5%,foxglove leaves,2%
IP_MP4103_08,Top,Mountain Pinnacle Trail,strange lump,1,tektite ore,5%,stalactite,2%
IP_MP7101_01,First Cave,Mountain Pinnacle Trail,bending twig,1,warm wood,10%,lateca resin,5%
IP_MP7101_02,First Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP7101_03,First Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP7101_04,First Cave,Mountain Pinnacle Trail,bending twig,1,warm wood,10%,lateca resin,5%
IP_MP4104_01,Outside First Cave Exit,Mountain Pinnacle Trail,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4104_02,Outside First Cave Exit,Mountain Pinnacle Trail,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4104_03,Outside First Cave Exit,Mountain Pinnacle Trail,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4104_04,Outside First Cave Exit,Mountain Pinnacle Trail,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4106_01,Lower Mountain Trail,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,5%
IP_MP4106_02,Lower Mountain Trail,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,5%
IP_MP4106_03,Lower Mountain Trail,Mountain Pinnacle Trail,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4106_04,Lower Mountain Trail,Mountain Pinnacle Trail,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4106_05,Lower Mountain Trail,Mountain Pinnacle Trail,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4106_06,Lower Mountain Trail,Mountain Pinnacle Trail,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4106_07,Lower Mountain Trail,Mountain Pinnacle Trail,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4108_01,Outside Second Cave Entrance,Mountain Pinnacle Trail,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP4108_02,Outside Second Cave Entrance,Mountain Pinnacle Trail,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4108_03,Outside Second Cave Entrance,Mountain Pinnacle Trail,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP4108_04,Outside Second Cave Entrance,Mountain Pinnacle Trail,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4108_05,Outside Second Cave Entrance,Mountain Pinnacle Trail,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP7102_01,Second Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,10%
IP_MP7102_02,Second Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,10%
IP_MP7102_03,Second Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,10%
IP_MP7102_04,Second Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,10%
IP_MP7102_05,Second Cave,Mountain Pinnacle Trail,strange lump,1,tektite ore,20%,stalactite,10%
IP_MP7102_06,Second Cave,Mountain Pinnacle Trail,bending twig,1,warm wood,20%,lateca resin,10%
IP_MP7102_07,Second Cave,Mountain Pinnacle Trail,bending twig,1,warm wood,20%,lateca resin,10%
IP_MP4109_01,Ridge,Temple Approach,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP4109_02,Ridge,Temple Approach,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP5103_01,Entrance from Temple Approach,Titis Primeval Forest,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP5103_02,Entrance from Temple Approach,Titis Primeval Forest,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP5103_03,Entrance from Temple Approach,Titis Primeval Forest,crudberry fruit,1,,,,
IP_MP5103_04,Entrance from Temple Approach,Titis Primeval Forest,queen tomato,2,,,,
IP_MP5102_01,Near Primordial Den,Titis Primeval Forest,bending twig,1,warm wood,10%,lateca resin,5%
IP_MP5102_02,Near Primordial Den,Titis Primeval Forest,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP5102_03,Near Primordial Den,Titis Primeval Forest,small leaves,1,Pangu flower,5%,rim flower,2%
IP_MP5102_04,Near Primordial Den,Titis Primeval Forest,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP5102_05,Near Primordial Den,Titis Primeval Forest,small leaves,1,Pangu flower,5%,rim flower,2%
IP_MP5102_06,Near Primordial Den,Titis Primeval Forest,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP5102_07,Near Primordial Den,Titis Primeval Forest,queen tomato,1,,,,
IP_MP5102_08,Near Primordial Den,Titis Primeval Forest,queen tomato,1,,,,
IP_MP5102_09,Near Primordial Den,Titis Primeval Forest,queen tomato,1,,,,
IP_MP5101_01,Exit to Pangaia Plains,Titis Primeval Forest,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP5101_02,Exit to Pangaia Plains,Titis Primeval Forest,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP5101_03,Exit to Pangaia Plains,Titis Primeval Forest,bending twig,1,warm wood,10%,lateca resin,5%
IP_MP5101_04,Exit to Pangaia Plains,Titis Primeval Forest,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP5101_05,Exit to Pangaia Plains,Titis Primeval Forest,Dragonfruit,1,,,,
IP_MP6102_01,Near Stone Pillar Wind Cave,Pangaia Plains,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP6102_02,Near Stone Pillar Wind Cave,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6102_03,Near Stone Pillar Wind Cave,Pangaia Plains,strange lump,1,tektite ore,20%,stalactite,10%
IP_MP6102_04,Near Stone Pillar Wind Cave,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6102_05,Near Stone Pillar Wind Cave,Pangaia Plains,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP6102_06,Near Stone Pillar Wind Cave,Pangaia Plains,small leaves,1,Pangu flower,5%,rim flower,2%
IP_MP6116_01,Northern Plains,Pangaia Plains,small leaves,1,shining leaves,10%,rim flower,2%
IP_MP6116_02,Northern Plains,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6116_03,Northern Plains,Pangaia Plains,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP6116_04,Northern Plains,Pangaia Plains,Dragonfruit,1,,,,
IP_MP6116_05,Northern Plains,Pangaia Plains,Dragonfruit,1,,,,
IP_MP6116_06,Northern Plains,Pangaia Plains,bending twig,1,Pangu tree,5%,lateca resin,2%
IP_MP6116_07,Northern Plains,Pangaia Plains,bending twig,1,Pangu tree,5%,lateca resin,2%
IP_MP6116_08,Northern Plains,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,10%
IP_MP6111_01,Pond,Pangaia Plains,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP6111_02,Pond,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6111_03,Pond,Pangaia Plains,bending twig,1,Pangu tree,5%,lateca resin,2%
IP_MP6111_04,Pond,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6111_05,Pond,Pangaia Plains,bending twig,1,Pangu tree,5%,lateca resin,2%
IP_MP6111_06,Pond,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6112_01,Ancient Tree,Pangaia Plains,bending twig,1,Pangu tree,5%,lateca resin,2%
IP_MP6112_02,Ancient Tree,Pangaia Plains,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6112_03,Ancient Tree,Pangaia Plains,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6112_04,Ancient Tree,Pangaia Plains,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6112_05,Ancient Tree,Pangaia Plains,small leaves,1,shining leaves,10%,rim flower,2%
IP_MP6112_06,Ancient Tree,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6112_07,Ancient Tree,Pangaia Plains,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP6112_08,Ancient Tree,Pangaia Plains,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6112_09,Ancient Tree,Pangaia Plains,bending twig,1,Pangu tree,5%,lateca resin,2%
IP_MP5103m_01,MP5103m,,small leaves,1,Pangu flower,10%,rim flower,2%
IP_MP5103m_02,MP5103m,,small leaves,1,Pangu flower,10%,rim flower,2%
IP_MP5103m_03,MP5103m,,bending twig,1,Pangu tree,5%,lateca resin,5%
IP_MP5103m_04,MP5103m,,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP5103m_05,MP5103m,,bending twig,1,Pangu tree,5%,lateca resin,5%
IP_MP5103m_06,MP5103m,,small leaves,1,Pangu flower,10%,rim flower,2%
IP_MP5103m_07,MP5103m,,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6112m_01,MP6112m,,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6112m_02,MP6112m,,small leaves,1,Pangu flower,10%,rim flower,2%
IP_MP6103_01,Near Eternia,Towal Highway,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6103_02,Near Eternia,Towal Highway,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6103_03,Near Eternia,Towal Highway,bending twig,1,warm wood,5%,Pangu tree,2%
IP_MP6103_04,Near Eternia,Towal Highway,bending twig,1,warm wood,5%,lateca resin,5%
IP_MP6103_05,Near Eternia,Towal Highway,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6103_06,Near Eternia,Towal Highway,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6103_07,Near Eternia,Towal Highway,small leaves,1,shining leaves,5%,rim flower,2%
IP_MP6103_08,Near Eternia,Towal Highway,king pumpkin,1,,,,
IP_MP6115_01,Cliff Overlooking Chasm,Towal Highway,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP6115_02,Cliff Overlooking Chasm,Towal Highway,small leaves,1,shining leaves,10%,foxglove leaves,2%
IP_MP6104_01,Baja Tower Approach,Towal Highway,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6104_02,Baja Tower Approach,Towal Highway,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6104_03,Baja Tower Approach,Towal Highway,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6104_04,Baja Tower Approach,Towal Highway,bending twig,1,warm wood,5%,lateca resin,5%
IP_MP6104_05,Baja Tower Approach,Towal Highway,bending twig,1,warm wood,10%,lateca resin,5%
IP_MP6104_06,Baja Tower Approach,Towal Highway,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6104_07,Baja Tower Approach,Towal Highway,small leaves,1,shining leaves,5%,rim flower,2%
IP_MP6104_08,Baja Tower Approach,Towal Highway,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6104_09,Baja Tower Approach,Towal Highway,small leaves,1,shining leaves,5%,rim flower,2%
IP_MP6104_10,Baja Tower Approach,Towal Highway,king pumpkin,1,,,,
IP_MP6103m_01,MP6103m,,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6103m_02,MP6103m,,small leaves,1,shining leaves,10%,rim flower,2%
IP_MP6103m_03,MP6103m,,small leaves,1,shining leaves,5%,rim flower,2%
IP_MP6103m_04,MP6103m,,bending twig,1,warm wood,10%,Pangu tree,2%
IP_MP6103m_05,MP6103m,,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6103m_06,MP6103m,,small leaves,1,shining leaves,10%,rim flower,2%
IP_MP6103m_07,MP6103m,,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6103m_08,MP6103m,,bending twig,1,warm wood,10%,Pangu tree,2%
IP_MP6322_01,Second Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6322_02,Second Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6322_03,Second Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6322_04,Second Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6322_05,Second Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6323_01,Third Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,2%
IP_MP6323_02,Third Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6323_03,Third Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6323_04,Third Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6324_01,Third Floor Hallway,Baja Tower,small leaves,1,shining leaves,10%,rim flower,2%
IP_MP6324_02,Third Floor Hallway,Baja Tower,bending twig,1,warm wood,10%,lateca resin,5%
IP_MP6324_03,Third Floor Hallway,Baja Tower,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP6324_04,Third Floor Hallway,Baja Tower,mango,1,ripe mango,10%,,
IP_MP6324_05,Third Floor Hallway,Baja Tower,mango,1,ripe mango,10%,,
IP_MP6326_01,Fifth Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6326_02,Fifth Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6326_03,Fifth Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6328_01,Sixth Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6328_02,Sixth Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP6328_03,Sixth Floor,Baja Tower,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP6328_04,Sixth Floor,Baja Tower,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_01,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_02,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_03,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_04,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_05,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_06,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_07,Stone Pillar Wind Cave,Stone Pillar Wind Cave,bending twig,1,warm wood,10%,Pangu tree,2%
IP_MP7491_08,Stone Pillar Wind Cave,Stone Pillar Wind Cave,bending twig,1,warm wood,10%,Pangu tree,2%
IP_MP7491_09,Stone Pillar Wind Cave,Stone Pillar Wind Cave,small leaves,1,shining leaves,10%,Pangu flower,5%
IP_MP7491_10,Stone Pillar Wind Cave,Stone Pillar Wind Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7491_11,Stone Pillar Wind Cave,Stone Pillar Wind Cave,bending twig,1,Pangu tree,10%,Treasure branch of the great tree,2%
IP_MP7491_12,Stone Pillar Wind Cave,Stone Pillar Wind Cave,small leaves,1,Pangu flower,10%,Aura grass,2%
IP_MP7491_13,Stone Pillar Wind Cave,Stone Pillar Wind Cave,small leaves,1,Pangu flower,10%,Aura grass,2%
IP_MP1116_01,Nostalgia Cape,Nostalgia Cape,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP1116_02,Nostalgia Cape,Nostalgia Cape,bending twig,1,warm wood,10%,lateca resin,2%
IP_MP1116_03,Nostalgia Cape,Nostalgia Cape,small leaves,1,shining leaves,10%,foxglove leaves,5%
IP_MP1116_04,Nostalgia Cape,Nostalgia Cape,mango,2,ripe mango,10%,,
IP_MP1116_05,Nostalgia Cape,Nostalgia Cape,king pumpkin,1,,,,
IP_MP1116_06,Nostalgia Cape,Nostalgia Cape,king pumpkin,1,,,,
IP_MP7411_01,East Coast Cave,East Coast Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7411_02,East Coast Cave,East Coast Cave,strange lump,1,tektite ore,10%,stalactite,5%
IP_MP7411_03,East Coast Cave,East Coast Cave,strange lump,1,tektite ore,10%,Rispar,2%
IP_MP7411_04,East Coast Cave,East Coast Cave,small leaves,1,shining leaves,10%,foxglove leaves,5%
